Species,Genus,Family,Life Form,HimLL,HimUL,APLL,APUL,BHLL,BHUL,NPLL,NPUL,UKLL,UKUL,HPLL,HPUL,JKLL,JKUL 
Bromus_staintonii,Bromus,Poaceae,H,1730,3660,,,1730,3660,2900,3200,2900,3200,,,,
Bromus_tectorum,Bromus,Poaceae,H,3050,4100,,,3050,3960,4100,4100,4100,4100,4100,4100,,
Broussonetia_kaempferi,Broussonetia,Moraceae,S,100,1800,100,1800,,,,,,,,,,
Broussonetia_kurzii,Broussonetia,Moraceae,H,270,600,,,270,600,270,600,,,,,,
Brucea_javanica,Brucea,Simaroubaceae,T,100,2745,100,600,915,2745,1300,2400,1200,2200,,,NA,NA
Brucea_mollis,Brucea,Simaroubaceae,S,100,3000,100,1000,100,3000,600,1100,,,,,,
Bruinsmia_polysperma,Bruinsmia,Styracaceae,T,100,1500,100,1500,,,900,1200,,,,,,
Bryobium_pudicum,Bryobium,Orchidaceae,E,100,1200,100,1200,,,,,,,,,,
Bryocarpum_himalaicum,Bryocarpum,Primulaceae,H,2740,4260,,,2740,4260,3300,3300,,,,,,
Buchanania_cochinchinensis,Buchanania,Anacardiaceae,T,150,2000,,,,,150,2000,304,1067,400,1000,,
Buchnera_cruciata,Buchnera,Orobanchaceae,H,100,100,,,,,100,300,,,,,,
Buchnera_hispida,Buchnera,Orobanchaceae,H,100,2400,,,1350,2400,1500,1900,1000,1500,1000,1500,,
Buddleja_asiatica,Buddleja,Scrophulariaceae,T,100,2800,100,1700,100,2800,100,2000,300,1500,400,1800,400,1650
Buddleja_bhutanica,Buddleja,Scrophulariaceae,S,1310,2000,,,1310,2000,,,,,,,,
Buddleja_candida,Buddleja,Scrophulariaceae,H,300,1200,300,1200,,,,,,,,,,
Buddleja_colvilei,Buddleja,Scrophulariaceae,S,1600,5000,1600,3200,1600,5000,2700,3100,,,,,,
Buddleja_crispa,Buddleja,Scrophulariaceae,S,100,4400,,,1200,3660,1800,4400,1800,4400,1000,2400,1200,2850
Buddleja_forrestii,Buddleja,Scrophulariaceae,S,2000,4000,2000,4000,2000,4000,,,,,,,,
Buddleja_griffithii,Buddleja,Scrophulariaceae,S,,,NA,NA,,,,,,,,,,
Buddleja_macrostachya,Buddleja,Scrophulariaceae,T,1500,2600,1500,2500,2000,2600,2000,2600,,,,,,
Buddleja_paniculata,Buddleja,Scrophulariaceae,T,500,3000,1400,2000,500,3000,1000,2400,1067,2800,1067,2800,1067,2800
Buglossoides_arvensis,Buglossoides,Boraginaceae,H,1000,2900,,,,,2500,2900,,,1000,1800,1700,2400
Buglossoides_tenuiflora,Buglossoides,Boraginaceae,H,1800,2500,,,,,,,,,1800,2500,,
Bulbophyllum_acutiflorum,Bulbophyllum,Orchidaceae,E,1000,2000,1000,2000,,,,,,,,,,
Bulbophyllum_affine,Bulbophyllum,Orchidaceae,H,700,1800,1200,1800,700,1500,1200,1500,1200,1500,,,,
Bulbophyllum_amplifolium,Bulbophyllum,Orchidaceae,E,1000,1300,1000,1300,1000,1300,,,,,,,,
Bulbophyllum_andersonii,Bulbophyllum,Orchidaceae,E,400,2000,1400,1800,400,2000,,,,,,,,
Bulbophyllum_apodum,Bulbophyllum,Orchidaceae,E,100,600,100,500,100,600,,,,,,,,
Bulbophyllum_appendiculatum,Bulbophyllum,Orchidaceae,H,100,1200,,,100,1200,,,,,,,,
Bulbophyllum_auratum,Bulbophyllum,Orchidaceae,H,250,400,,,250,400,,,,,,,,
Bulbophyllum_bisetum,Bulbophyllum,Orchidaceae,E,1200,2000,1500,2000,1200,2000,1200,2000,,,,,,
Bulbophyllum_brienianum,Bulbophyllum,Orchidaceae,E,1000,1100,1000,1100,,,,,,,,,,
Bulbophyllum_capillipes,Bulbophyllum,Orchidaceae,E,1500,2000,1500,2000,,,,,,,,,,
Bulbophyllum_careyanum,Bulbophyllum,Orchidaceae,E,500,1650,500,1500,1200,1650,1000,1400,1000,1400,,,,
Bulbophyllum_cariniflorum,Bulbophyllum,Orchidaceae,E,100,2000,1800,2000,1000,1700,,,1600,1600,,,,
Bulbophyllum_cauliflorum,Bulbophyllum,Orchidaceae,E,900,3000,1600,3000,900,2200,,,,,,,,
Bulbophyllum_cornu-cervi,Bulbophyllum,Orchidaceae,E,700,1000,700,1000,760,915,,,,,,,,
Bulbophyllum_crassipes,Bulbophyllum,Orchidaceae,E,100,2200,100,500,100,2200,,,,,,,,
Bulbophyllum_cupreum,Bulbophyllum,Orchidaceae,E,1000,1500,1000,1500,,,,,,,,,,
Bulbophyllum_cylindraceum,Bulbophyllum,Orchidaceae,E,1200,3500,3000,3500,1200,2400,1600,2400,,,,,,
Bulbophyllum_delitescens,Bulbophyllum,Orchidaceae,E,500,1200,500,1200,,,,,,,,,,
Bulbophyllum_depressum,Bulbophyllum,Orchidaceae,E,1800,2200,1800,2200,,,,,,,,,,
Bulbophyllum_elatum,Bulbophyllum,Orchidaceae,E,900,2500,900,1500,1500,2500,1500,2500,,,,,,
Bulbophyllum_emarginatum,Bulbophyllum,Orchidaceae,E,1700,2600,1800,2200,1700,2600,,,,,,,,
Bulbophyllum_eublepharum,Bulbophyllum,Orchidaceae,E,1300,2500,1800,2000,1300,2500,,,,,,,,
Bulbophyllum_gamblei,Bulbophyllum,Orchidaceae,E,1400,3000,1500,3000,1400,2800,,,,,,,,
Bulbophyllum_gracilipes,Bulbophyllum,Orchidaceae,H,300,950,,,300,950,,,,,,,,
Bulbophyllum_griffithii,Bulbophyllum,Orchidaceae,E,1200,3500,2500,3500,1200,3000,1200,3000,,,,,,
Bulbophyllum_guttulatum,Bulbophyllum,Orchidaceae,E,650,2000,1000,2000,650,1800,650,1800,650,1800,,,,
Bulbophyllum_gymnopus,Bulbophyllum,Orchidaceae,E,900,1600,1200,1600,900,1075,,,,,,,,
Bulbophyllum_helenae,Bulbophyllum,Orchidaceae,E,500,2300,1000,2000,500,2300,900,1200,900,1200,,,,
Bulbophyllum_hirtum,Bulbophyllum,Orchidaceae,E,900,2000,1000,2000,900,2000,900,2000,,,,,,
Bulbophyllum_hymenanthum,Bulbophyllum,Orchidaceae,E,1600,3000,2000,3000,1600,2600,,,,,,,,
Bulbophyllum_khasyanum,Bulbophyllum,Orchidaceae,E,1000,2500,1000,2000,1400,2500,,,,,,,,
Bulbophyllum_leopardinum,Bulbophyllum,Orchidaceae,E,1300,3100,2000,2500,1300,2400,1800,3100,1800,3100,,,,
Bulbophyllum_leptanthum,Bulbophyllum,Orchidaceae,H,900,1524,,,900,1524,,,,,,,,
Bulbophyllum_lobbii,Bulbophyllum,Orchidaceae,E,1000,1500,1000,1500,,,,,,,,,,
Bulbophyllum_macraei,Bulbophyllum,Orchidaceae,E,100,1000,100,1000,,,,,,,,,,
Bulbophyllum_muscicola,Bulbophyllum,Orchidaceae,E,100,3000,1200,1500,100,3000,2100,2400,2100,2400,,,,
Bulbophyllum_nodosum,Bulbophyllum,Orchidaceae,E,100,200,100,300,,,,,,,,,,
Bulbophyllum_odoratissimum,Bulbophyllum,Orchidaceae,E,500,2000,500,2000,1000,1900,1000,1900,,,,,,
Bulbophyllum_ornatissimum,Bulbophyllum,Orchidaceae,E,200,500,200,500,,,,,,,,,,
Bulbophyllum_parviflorum,Bulbophyllum,Orchidaceae,E,100,2200,100,2000,800,2200,,,,,,,,
Bulbophyllum_penicillium,Bulbophyllum,Orchidaceae,E,900,1829,900,1000,1600,1829,,,,,,,,
Bulbophyllum_piluliferum,Bulbophyllum,Orchidaceae,E,200,500,200,500,305,305,,,,,,,,
Bulbophyllum_polyrrhizum,Bulbophyllum,Orchidaceae,E,300,1500,600,1100,300,1400,1500,1500,1500,1500,,,,
Bulbophyllum_protractum,Bulbophyllum,Orchidaceae,E,480,1500,500,1500,480,600,,,,,,,,
Bulbophyllum_pteroglossum,Bulbophyllum,Orchidaceae,E,1000,1500,1000,1500,1000,1500,,,,,,,,
Bulbophyllum_putidum,Bulbophyllum,Orchidaceae,H,100,2000,100,2000,100,2000,,,,,,,,
Bulbophyllum_repens,Bulbophyllum,Orchidaceae,E,800,1000,800,1000,,,,,,,,,,
Bulbophyllum_reptans,Bulbophyllum,Orchidaceae,E,1200,2700,1600,2000,1600,2700,1200,2000,1200,2000,,,,
Bulbophyllum_retusiusculum,Bulbophyllum,Orchidaceae,E,500,3500,2000,3500,500,2800,2100,3000,,,,,,
Bulbophyllum_rigidum,Bulbophyllum,Orchidaceae,E,100,2200,100,2000,1600,2200,,,,,,,,
Bulbophyllum_rolfei,Bulbophyllum,Orchidaceae,H,1900,3000,1900,3000,1900,3000,2400,2400,,,,,,
Bulbophyllum_rothschildianum,Bulbophyllum,Orchidaceae,H,100,1600,100,1600,100,1600,,,,,,,,
Bulbophyllum_roxburghii,Bulbophyllum,Orchidaceae,E,200,1000,200,1000,300,700,,,,,,,,
Bulbophyllum_sarcophylloides,Bulbophyllum,Orchidaceae,E,300,1500,1000,1500,300,500,,,,,,,,
Bulbophyllum_sarcophyllum,Bulbophyllum,Orchidaceae,H,600,1400,600,1400,600,1400,,,,,,,,
Bulbophyllum_scabratum,Bulbophyllum,Orchidaceae,E,500,2000,500,1500,1000,2000,2000,2000,,,,,,
Bulbophyllum_secundum,Bulbophyllum,Orchidaceae,E,1200,2500,1200,2500,1200,2500,2000,2200,,,,,,
Bulbophyllum_spathulatum,Bulbophyllum,Orchidaceae,E,200,500,200,500,350,500,,,,,,,,
Bulbophyllum_stenobulbon,Bulbophyllum,Orchidaceae,E,250,2100,500,1000,250,2100,,,,,,,,
Bulbophyllum_sterile,Bulbophyllum,Orchidaceae,H,100,2000,1000,1500,100,2000,100,2000,,,,,,
Bulbophyllum_striatum,Bulbophyllum,Orchidaceae,E,1000,2750,1000,2000,1500,2750,1500,2750,,,,,,
Bulbophyllum_tortuosum,Bulbophyllum,Orchidaceae,E,200,2000,200,500,200,2000,,,,,,,,
Bulbophyllum_triste,Bulbophyllum,Orchidaceae,E,100,1700,100,1000,100,1700,100,1700,300,1700,,,,
Bulbophyllum_umbellatum,Bulbophyllum,Orchidaceae,E,200,2200,200,500,1300,2200,300,300,1600,1600,,,,
Bulbophyllum_viridiflorum,Bulbophyllum,Orchidaceae,E,1500,2500,1500,2500,1524,2300,1500,2200,,,,,,
Bulbophyllum_wallichii,Bulbophyllum,Orchidaceae,E,1200,2900,1200,2000,1220,2900,1220,2900,1220,2900,,,,
Bulbophyllum_xylophyllum,Bulbophyllum,Orchidaceae,E,500,800,500,800,500,800,,,,,,,,
Bulbophyllum_yoksunense,Bulbophyllum,Orchidaceae,H,1800,2800,,,1800,2800,1800,2800,,,,,,
Bulbophyllum_yunnanense,Bulbophyllum,Orchidaceae,H,2400,2800,NA,NA,NA,NA,2400,2800,,,,,,
Bulbostylis_barbata,Bulbostylis,Cyperaceae,H,100,1500,,,100,1300,100,1300,300,1500,400,1500,400,1500
Bulbostylis_densa,Bulbostylis,Cyperaceae,H,100,4100,100,1500,1500,4100,1500,3500,300,2500,1500,2800,,
Bulleyia_yunnanensis,Bulleyia,Orchidaceae,E,200,3500,200,1600,700,3500,,,,,,,,
Bunium_persicum,Bunium,Apiaceae,H,1700,1900,,,,,,,NA,NA,NA,NA,1700,1900
Bupleurum_aitchisonii,Bupleurum,Apiaceae,H,2500,3500,,,,,,,NA,NA,2500,3500,3305,3305
Bupleurum_atroviolaceum,Bupleurum,Apiaceae,H,2500,3500,,,,,,,,,2500,3500,,
Bupleurum_candollei,Bupleurum,Apiaceae,H,1700,4000,,,2300,4000,2400,4000,2500,4000,2400,4000,1700,1900
Bupleurum_clarkeanum,Bupleurum,Apiaceae,H,,,,,,,,,,,,,NA,NA
Bupleurum_dalhousianum,Bupleurum,Apiaceae,H,2000,4600,,,3050,4600,2600,3600,2500,4000,2000,2500,,
Bupleurum_gracillimum,Bupleurum,Apiaceae,H,2800,4000,,,2800,4000,2800,4000,,,NA,NA,2800,4000
Bupleurum_hamiltonii,Bupleurum,Apiaceae,H,500,3200,,,1000,3200,1300,3200,2000,3000,500,3000,500,3000
Bupleurum_hoffmeisteri,Bupleurum,Apiaceae,H,,,,,,,,,NA,NA,NA,NA,,
Bupleurum_jucundum,Bupleurum,Apiaceae,H,2300,2900,,,,,,,NA,NA,NA,NA,2300,2900
Bupleurum_lanceolatum,Bupleurum,Apiaceae,H,1400,3500,,,,,2250,3050,1981,3000,2000,3500,1400,3000
Bupleurum_longicaule,Bupleurum,Apiaceae,H,2000,4900,,,3300,4000,2000,4900,2500,4000,2900,4100,2500,3500
Bupleurum_maddenii,Bupleurum,Apiaceae,H,2700,3200,,,,,,,NA,NA,2700,3200,2700,3200
Bupleurum_marginatum,Bupleurum,Apiaceae,H,1067,4800,,,1300,2100,1500,4800,1067,4000,1067,4000,1600,2850
Bupleurum_subuniflorum,Bupleurum,Apiaceae,H,,,,,,,,,NA,NA,,,NA,NA
Bupleurum_swatianum,Bupleurum,Apiaceae,H,,,,,,,,,,,NA,NA,,
Bupleurum_tenuissimum,Bupleurum,Apiaceae,H,400,2700,,,,,,,762,2134,,,400,2700
Bupleurum_thomsonii,Bupleurum,Apiaceae,H,2700,2700,,,,,,,,,NA,NA,2700,2700
Burmannia_coelestis,Burmannia,Burmanniaceae,H,100,305,,,100,300,100,300,,,,,,
Burmannia_disticha,Burmannia,Burmanniaceae,H,100,3050,2440,3050,2440,3050,1500,2600,,,,,,
Burmannia_nepalensis,Burmannia,Burmanniaceae,H,1600,1600,,,,,1600,1600,,,,,,
Butea_buteiformis,Butea,Fabaceae,H,1000,2000,1000,2000,1220,1440,,,,,,,,
Butea_monosperma,Butea,Fabaceae,T,100,1500,100,1000,100,1000,100,1200,300,1500,400,1500,400,1500
Butomopsis_latifolia,Butomopsis,Alismataceae,H,100,900,100,800,100,900,600,600,600,600,,,,
Buxus_papillosa,Buxus,Buxaceae,T,1200,3000,,,NA,NA,NA,NA,1200,3000,1200,3000,,
Buxus_rugulosa,Buxus,Buxaceae,T,3300,3500,,,,,3300,3500,3300,3500,3300,3500,3300,3300
Buxus_wallichiana,Buxus,Buxaceae,T,1800,2900,,,1800,2400,2000,2900,1829,2743,1800,2800,,
Byttneria_aspera,Byttneria,Malvaceae,WC,100,1300,100,1000,100,1300,100,500,,,,,,
Byttneria_crenulata,Byttneria,Malvaceae,WC,100,100,,,,,100,300,,,,,,
Byttneria_pilosa,Byttneria,Malvaceae,WC,100,1300,100,1300,100,1300,,,,,,,,
Cacalia_levingii,Cacalia,Asteraceae,H,3400,4000,,,,,,,3400,4000,3400,4000,,
Cacalia_mortonii,Cacalia,Asteraceae,H,500,3500,500,3000,500,3000,2500,3500,,,,,,
Caesalpinia_bonduc,Caesalpinia,Fabaceae,WC,100,1650,100,1000,100,1000,100,500,300,1000,400,1000,400,1650
Caesalpinia_crista,Caesalpinia,Fabaceae,WC,100,100,,,100,300,,,,,,,,
Caesalpinia_cucullata,Caesalpinia,Fabaceae,WC,100,1800,100,1000,100,450,100,1800,300,300,,,,
Caesalpinia_decapetala,Caesalpinia,Fabaceae,WC,100,2200,,,1200,1850,1000,2200,300,2134,400,2000,400,2180
Caesalpinia_digyna,Caesalpinia,Fabaceae,WC,600,1000,,,,,600,1000,,,,,,
Caesalpinia_enneaphylla,Caesalpinia,Fabaceae,WC,100,100,100,300,,,,,,,,,,
Caesalpinia_tortuosa,Caesalpinia,Fabaceae,WC,,,NA,NA,NA,NA,,,,,,,,
Caesulia_axillaris,Caesulia,Asteraceae,H,100,1500,,,,,NA,NA,300,800,400,1500,,
Cajanus_crassus,Cajanus,Fabaceae,WC,100,1600,NA,NA,,,100,1600,300,1524,400,1524,400,1600
Cajanus_elongatus,Cajanus,Fabaceae,HC,100,2000,2000,2000,2000,2000,1200,1900,1200,1900,,,,
Cajanus_goensis,Cajanus,Fabaceae,S,100,,100,300,,,,,,,,,,
Cajanus_grandiflorus,Cajanus,Fabaceae,WC,914,1200,,,1200,1200,,,914,914,,,,
Cajanus_mollis,Cajanus,Fabaceae,HC,400,2130,,,1500,2130,,,400,1500,900,1600,,
Cajanus_platycarpus,Cajanus,Fabaceae,HC,100,2500,NA,NA,,,NA,NA,300,2500,400,1000,400,2500
Cajanus_scarabaeoides,Cajanus,Fabaceae,HC,100,2700,100,2700,100,2700,100,1200,300,1524,400,1500,400,1500
Cajanus_villosus,Cajanus,Fabaceae,HC,150,1200,,,150,1200,,,,,,,,
Calamagrostis_arundinacea,Calamagrostis,Poaceae,H,2350,2900,,,2350,2900,,,NA,NA,,,,
Calamagrostis_debilis,Calamagrostis,Poaceae,H,3350,3350,3350,3350,3350,3350,,,,,,,,
Calamagrostis_elatior,Calamagrostis,Poaceae,H,2000,2200,2000,2200,2000,2200,,,,,,,,
Calamagrostis_emodensis,Calamagrostis,Poaceae,H,1500,4500,,,2590,3700,2900,3700,3000,4500,1500,4000,,
Calamagrostis_epigejos,Calamagrostis,Poaceae,H,3000,3200,,,,,3000,3200,,,NA,NA,,
Calamagrostis_holciformis,Calamagrostis,Poaceae,H,1600,4300,,,,,3700,4300,,,1600,2800,,
Calamagrostis_lahulensis,Calamagrostis,Poaceae,H,1500,4830,,,3050,4830,2900,4600,3500,4500,1500,3500,,
Calamagrostis_nagarum,Calamagrostis,Poaceae,H,2400,2840,2400,2840,2400,2840,,,NA,NA,,,,
Calamagrostis_nivicola,Calamagrostis,Poaceae,H,3500,5700,3500,4880,3500,4880,4100,5700,,,,,,
Calamagrostis_petelotii,Calamagrostis,Poaceae,H,2300,3350,2300,3350,2300,3350,2300,3350,,,,,,
Calamagrostis_pseudophragmites,Calamagrostis,Poaceae,H,100,4600,100,2600,100,2600,1500,4600,2600,2600,2000,3500,,
Calamagrostis_scabrescens,Calamagrostis,Poaceae,H,1600,4600,2590,4000,2590,4000,3000,4600,1600,4000,1600,4000,,
Calamagrostis_staintonii,Calamagrostis,Poaceae,H,3500,4600,,,,,3500,4600,3500,4600,,,,
Calamagrostis_stolizkai,Calamagrostis,Poaceae,H,,,,,,,,,NA,NA,,,,
Calamagrostis_tibetica,Calamagrostis,Poaceae,H,4880,5140,4880,5140,4880,5140,,,,,,,,
Calamagrostis_zenkeri,Calamagrostis,Poaceae,H,100,3600,,,2600,3600,900,2000,,,,,,
Calamus_acanthospathus,Calamus,Arecaceae,T,100,2400,800,1700,800,2400,100,1500,,,,,,
Calamus_erectus,Calamus,Arecaceae,T,100,1500,900,1500,100,1220,,,,,,,,
Calamus_flagellum,Calamus,Arecaceae,T,100,1360,100,500,100,1360,100,1360,,,,,,
Calamus_floribundus,Calamus,Arecaceae,S,100,1500,100,1500,,,,,,,,,,
Calamus_gracilis,Calamus,Arecaceae,S,100,1600,100,1600,,,,,,,,,,
Calamus_guruba,Calamus,Arecaceae,S,,,,,NA,NA,,,,,,,,
Calamus_latifolius,Calamus,Arecaceae,S,100,1000,100,100,100,1000,600,600,,,,,,
Calamus_leptospadix,Calamus,Arecaceae,S,100,1700,,,100,1700,100,1700,,,,,,
Calamus_nambariensis,Calamus,Arecaceae,S,100,610,,,100,610,,,,,,,,
Calamus_rotang,Calamus,Arecaceae,S,,,,,NA,NA,,,,,,,,
Calamus_tenuis,Calamus,Arecaceae,T,100,700,,,NA,NA,,,300,609,400,700,,
Calanthe_alismifolia,Calanthe,Orchidaceae,H,660,2000,1000,1200,660,1600,,,1500,2000,,,,
Calanthe_alpina,Calanthe,Orchidaceae,H,1000,4000,1000,3000,2500,4000,2800,3200,2800,3200,,,,
Calanthe_biloba,Calanthe,Orchidaceae,H,1000,2900,1200,2000,1000,2900,1000,2900,,,,,,
Calanthe_brevicornu,Calanthe,Orchidaceae,H,1400,3100,2000,3000,1400,3100,2300,2600,2000,2800,,,,
Calanthe_chloroleuca,Calanthe,Orchidaceae,H,1800,3000,2000,3000,1800,2400,1800,2400,,,,,,
Calanthe_clavata,Calanthe,Orchidaceae,H,1000,1500,,,1000,1500,,,,,,,,
Calanthe_davidii,Calanthe,Orchidaceae,H,1000,2000,1000,1500,1000,1500,2000,2000,1500,2000,,,,
Calanthe_densiflora,Calanthe,Orchidaceae,H,1000,3000,1200,1800,1000,3000,,,,,,,,
Calanthe_fulgens,Calanthe,Orchidaceae,H,100,100,100,300,100,300,,,,,,,,
Calanthe_griffithii,Calanthe,Orchidaceae,H,800,2400,800,1600,1800,2400,1800,2400,,,,,,
Calanthe_herbacea,Calanthe,Orchidaceae,H,1000,2600,1000,2500,1330,2600,,,,,,,,
Calanthe_keshabii,Calanthe,Orchidaceae,H,1500,2500,,,1500,2500,,,,,,,,
Calanthe_mannii,Calanthe,Orchidaceae,H,500,3000,500,1000,600,3000,2300,2500,1600,1600,,,,
Calanthe_odora,Calanthe,Orchidaceae,H,200,1200,200,500,300,1200,,,,,,,,
Calanthe_plantaginea,Calanthe,Orchidaceae,H,800,3700,800,1500,1500,2500,1500,1800,3000,3000,3000,3700,,
Calanthe_puberula,Calanthe,Orchidaceae,H,1200,3200,2000,2500,1200,3200,1800,1800,2000,2000,2000,2000,,
Calanthe_sylvatica,Calanthe,Orchidaceae,H,100,2800,100,1000,100,2800,2000,2800,,,,,,
Calanthe_tricarinata,Calanthe,Orchidaceae,H,1300,4000,1500,2000,1300,3600,1500,3200,2000,4000,1500,3000,1500,3000
Calanthe_triplicata,Calanthe,Orchidaceae,H,100,2000,1000,2000,1000,2000,,,,,,,,
Calanthe_trulliformis,Calanthe,Orchidaceae,H,1000,2600,1000,1500,1800,2600,2300,2600,,,,,,
Calanthe_whiteana,Calanthe,Orchidaceae,H,1220,1500,1220,1500,1220,1500,,,,,,,,
Calanthe_yuksomnensis,Calanthe,Orchidaceae,H,1700,3000,,,1700,3000,,,,,,,,
Calathodes_palmata,Calathodes,Ranunculaceae,H,2300,3200,,,2300,3050,3200,3200,,,,,,
Caldesia_parnassifolia,Caldesia,Alismataceae,H,100,700,,,,,700,700,700,700,,,,
Callerya_cinerea,Callerya,Fabaceae,WC,100,1700,100,1500,100,1700,100,500,,,,,,
Callianthemum_alatavicum,Callianthemum,Ranunculaceae,H,,,,,,,,,,,,,NA,NA
Callianthemum_cachemirianum,Callianthemum,Ranunculaceae,H,3810,4420,,,NA,NA,NA,NA,3810,4420,,,,
Callianthemum_pimpinelloides,Callianthemum,Ranunculaceae,H,2600,5000,,,2750,4000,2800,4000,3000,5000,3000,5000,2600,5000
Callicarpa_arborea,Callicarpa,Lamiaceae,T,100,2000,100,800,100,2000,100,2000,300,1400,,,,
Callicarpa_longifolia,Callicarpa,Lamiaceae,S,100,900,100,900,100,600,,,NA,NA,,,,
Callicarpa_macrophylla,Callicarpa,Lamiaceae,T,100,2000,100,1300,100,2000,100,1500,300,1524,400,1500,400,1500
Callicarpa_rubella,Callicarpa,Lamiaceae,T,100,3500,100,600,100,3500,,,,,,,,
Callicarpa_tomentosa,Callicarpa,Lamiaceae,T,100,3700,100,1200,3000,3700,3000,3700,,,,,,
Callicarpa_vestita,Callicarpa,Lamiaceae,T,100,2000,100,1200,100,2000,100,1200,,,,,,
Callitriche_hamulata,Callitriche,Plantaginaceae,H,,,,,,,,,,,NA,NA,,
Callitriche_stagnalis,Callitriche,Plantaginaceae,H,100,3500,,,1400,3000,1800,3000,1800,3500,1800,3500,1700,1700
Callostylis_bambusifolia,Callostylis,Orchidaceae,E,1000,2000,1000,2000,1067,2000,,,,,,,,
Callostylis_rigida,Callostylis,Orchidaceae,H,500,1860,500,1860,500,1860,,,,,,,,
Calophyllum_polyanthum,Calophyllum,Calophyllaceae,T,100,1800,600,1500,100,1800,,,,,,,,
Calorhabdos_brunoniana,Calorhabdos,Plantaginaceae,H,2500,3050,,,2500,3050,2500,3050,,,,,,
Calotropis_acia,Calotropis,Apocynaceae,S,100,900,,,100,900,100,200,300,200,,,,
Calotropis_procera,Calotropis,Apocynaceae,S,100,900,100,900,100,900,100,600,300,800,400,900,400,850
Caltha_palustris,Caltha,Ranunculaceae,H,1800,5000,1800,3000,2400,4570,2400,4200,2800,5000,2400,4000,2000,3000
Caltha_scaposa,Caltha,Ranunculaceae,H,2500,5500,2500,4500,2700,4570,2700,5500,2700,5500,,,,
Caltha_sinogracilis,Caltha,Ranunculaceae,H,,,NA,NA,,,,,,,,,,
Calystegia_hederacea,Calystegia,Convolvulaceae,HC,100,1050,,,900,1050,900,1050,,,NA,NA,,
Camellia_caudata,Camellia,Theaceae,T,1000,1800,1000,1800,,,NA,NA,,,,,,
Camellia_kissii,Camellia,Theaceae,T,100,2200,1100,1800,900,2200,900,2200,,,,,,
Camellia_lutescens,Camellia,Theaceae,T,1200,1600,1200,1600,,,,,,,,,,
Camellia_siangensis,Camellia,Theaceae,T,1150,1800,1150,1800,,,,,,,,,,
Camellia_sinensis,Camellia,Theaceae,S,100,2300,100,2300,100,2300,100,1200,1200,1800,1200,1800,,
Campanula_alsinoides,Campanula,Campanulaceae,H,2500,3500,,,,,,,2500,3500,2500,3500,2500,3500
Campanula_argyrotricha,Campanula,Campanulaceae,H,2439,4700,,,2800,3962,2800,4700,2439,3353,3000,4500,,
Campanula_aristata,Campanula,Campanulaceae,H,2900,4877,,,3656,4877,3300,4500,3500,4573,3500,4573,2900,4200
Campanula_cana,Campanula,Campanulaceae,H,1200,3400,1500,2000,2134,2370,1200,3400,2134,2439,2000,2600,,
Campanula_cashmeriana,Campanula,Campanulaceae,H,2000,4000,,,,,,,3000,4000,2100,3600,2000,2800
Campanula_dimorphantha,Campanula,Campanulaceae,H,100,2700,,,600,1850,100,1100,300,1500,400,2700,400,2700
Campanula_immodesta,Campanula,Campanulaceae,H,4417,5350,,,4417,5350,4417,5350,,,,,,
Campanula_latifolia,Campanula,Campanulaceae,H,2000,3800,,,,,2700,3800,2591,3800,2000,3000,2300,3100
Campanula_nakaoi,Campanula,Campanulaceae,H,2700,4100,,,,,2700,4100,,,,,,
Campanula_pallida,Campanula,Campanulaceae,H,600,4500,900,1500,1000,3950,1000,4500,1500,3658,600,2700,2900,3100
Campanula_sylvatica,Campanula,Campanulaceae,H,1200,3000,1500,2700,1700,2600,1200,2500,1524,3000,1200,2400,,
Campanula_wattiana,Campanula,Campanulaceae,H,2000,3000,,,,,,,NA,NA,2000,3000,,
Campylotropis_eriocarpa,Campylotropis,Fabaceae,S,1300,2500,NA,NA,,,,,1524,2134,1300,2500,,
Campylotropis_griffithii,Campylotropis,Fabaceae,S,1150,1400,,,1150,1400,,,,,,,,
Campylotropis_macrostyla,Campylotropis,Fabaceae,S,400,2650,,,,,700,2200,800,2500,400,1500,1200,2650
Campylotropis_meeboldii,Campylotropis,Fabaceae,S,1600,2700,,,,,,,NA,NA,1600,2700,,
Campylotropis_speciosa,Campylotropis,Fabaceae,S,2000,3100,,,2400,2500,2000,3100,2000,3100,,,,
Campylotropis_stenocarpa,Campylotropis,Fabaceae,S,400,3000,,,,,,,400,2500,400,3000,400,3000
Campylotropis_thomsonii,Campylotropis,Fabaceae,S,100,100,100,300,,,,,300,400,,,,
Canarium_bengalense,Canarium,Burseraceae,T,100,1000,100,1000,100,1000,,,,,,,,
Canarium_sikkimense,Canarium,Burseraceae,T,100,1000,,,100,1000,,,,,,,,
Canarium_strictum,Canarium,Burseraceae,T,100,1200,1000,1200,610,900,,,,,,,,
Canavalia_cathartica,Canavalia,Fabaceae,H,100,100,,,100,300,,,,,,,,
Canscora_alata,Canscora,Gentianaceae,H,100,2500,1500,2500,1500,2500,750,2300,300,1800,400,1000,400,1000
Canscora_andrographioides,Canscora,Gentianaceae,H,100,1500,100,1500,,,,,,,,,,
Canscora_diffusa,Canscora,Gentianaceae,H,100,1100,,,100,760,100,750,300,1100,400,900,400,900
Cansjera_rheedii,Cansjera,Opiliaceae,HC,100,600,,,,,600,600,,,,,,
Canthium_glabrum,Canthium,Rubiaceae,T,100,1800,1500,1800,100,1000,,,,,,,,
